,u,i,ts
0,-1,0,0
1,-1,24,0
2,-1,32,0
3,-1,34,0
4,-1,41,0
5,-1,42,0
6,-1,48,0
7,-1,51,0
8,-1,52,0
9,-1,55,0
10,-1,63,0
11,-1,69,0
12,-1,82,0
13,-1,85,0
14,-1,86,0
15,-1,87,0
16,-1,100,0
17,-1,124,0
18,-1,132,0
19,-1,134,0
20,-1,141,0
21,-1,142,0
22,-1,151,0
23,-1,152,0
24,-1,155,0
25,-1,163,0
26,-1,182,0
27,-1,185,0
28,-1,186,0
29,-1,187,0
30,-1,100,1
31,-1,111,1
32,-1,124,1
33,-1,132,1
34,-1,134,1
35,-1,136,1
36,-1,141,1
37,-1,142,1
38,-1,148,1
39,-1,151,1
40,-1,152,1
41,-1,155,1
42,-1,163,1
43,-1,169,1
44,-1,182,1
45,-1,185,1
46,-1,186,1
47,-1,187,1
48,-1,200,1
49,-1,224,1
50,-1,232,1
51,-1,234,1
52,-1,236,1
53,-1,242,1
54,-1,248,1
55,-1,251,1
56,-1,252,1
57,-1,255,1
58,-1,263,1
59,-1,269,1
60,-1,282,1
61,-1,285,1
62,-1,286,1
63,-1,287,1
64,-1,300,1
65,-1,324,1
66,-1,332,1
67,-1,334,1
68,-1,336,1
69,-1,341,1
70,-1,342,1
71,-1,348,1
72,-1,351,1
73,-1,352,1
74,-1,355,1
75,-1,363,1
76,-1,369,1
77,-1,382,1
78,-1,385,1
79,-1,386,1
80,-1,387,1
81,-1,100,2
82,-1,124,2
83,-1,132,2
84,-1,134,2
85,-1,141,2
86,-1,142,2
87,-1,148,2
88,-1,151,2
89,-1,169,2
90,-1,182,2
91,-1,185,2
92,-1,186,2
93,-1,187,2
94,-1,200,2
95,-1,224,2
96,-1,232,2
97,-1,234,2
98,-1,241,2
99,-1,242,2
100,-1,248,2
101,-1,251,2
102,-1,252,2
103,-1,255,2
104,-1,263,2
105,-1,269,2
106,-1,282,2
107,-1,285,2
108,-1,286,2
109,-1,287,2
110,-1,300,2
111,-1,324,2
112,-1,332,2
113,-1,334,2
114,-1,341,2
115,-1,342,2
116,-1,351,2
