,u,i,ts
0,-1,0,0
1,-1,24,0
2,-1,32,0
3,-1,34,0
4,-1,41,0
5,-1,42,0
6,-1,48,0
7,-1,51,0
8,-1,52,0
9,-1,55,0
10,-1,63,0
11,-1,69,0
12,-1,82,0
13,-1,85,0
14,-1,86,0
15,-1,87,0
16,-1,100,0
17,-1,124,0
18,-1,132,0
19,-1,134,0
20,-1,141,0
21,-1,142,0
22,-1,151,0
23,-1,152,0
24,-1,155,0
25,-1,163,0
26,-1,182,0
27,-1,185,0
28,-1,186,0
29,-1,187,0
30,-1,200,0
31,-1,224,0
32,-1,232,0
33,-1,234,0
34,-1,241,0
35,-1,242,0
36,-1,248,0
37,-1,251,0
38,-1,252,0
39,-1,255,0
40,-1,263,0
41,-1,269,0
42,-1,282,0
43,-1,285,0
44,-1,286,0
45,-1,287,0
46,-1,300,0
47,-1,324,0
48,-1,332,0
49,-1,334,0
50,-1,341,0
51,-1,342,0
52,-1,348,0
53,-1,351,0
54,-1,352,0
55,-1,355,0
56,-1,363,0
57,-1,369,0
58,-1,382,0
59,-1,385,0
60,-1,386,0
61,-1,387,0
62,-1,0,1
63,-1,24,1
64,-1,32,1
65,-1,34,1
66,-1,36,1
67,-1,41,1
68,-1,42,1
69,-1,48,1
70,-1,51,1
71,-1,52,1
72,-1,55,1
73,-1,63,1
74,-1,69,1
75,-1,82,1
76,-1,85,1
77,-1,86,1
78,-1,87,1
79,-1,100,1
80,-1,111,1
81,-1,124,1
82,-1,132,1
83,-1,134,1
84,-1,136,1
85,-1,141,1
86,-1,142,1
87,-1,148,1
88,-1,151,1
89,-1,152,1
90,-1,155,1
91,-1,163,1
92,-1,169,1
93,-1,182,1
94,-1,185,1
95,-1,186,1
96,-1,187,1
97,-1,200,1
98,-1,224,1
99,-1,232,1
100,-1,234,1
101,-1,236,1
102,-1,242,1
103,-1,248,1
104,-1,251,1
105,-1,252,1
106,-1,255,1
107,-1,263,1
108,-1,269,1
109,-1,282,1
110,-1,285,1
111,-1,286,1
112,-1,287,1
113,-1,300,1
114,-1,324,1
115,-1,332,1
116,-1,334,1
